RID,Case ID,Sentence Year,Offender ID,Sex,Age Range,Ethnicity,No. of Charges,Offense Severity Group,Type of Homicide,Type of Sentence,Presence of Witnesses,Time of Crime Commited,Sentence Imposed,Sentence Suspended,Sentence to Serve,Sentence on Probation,Amount (VVCA),Amount (FINE),Amount (REST),Amount (FSUS),Type of Offense
9792,6479045,2017.0,8863154,M,51-60,Black,1.0,M8,,Probation,No,Morning,32.0,24.0,0.0,24.0,300.0,0.0,0.0,0.0,Violent
4809,3059063,2019.0,8000826,M,22-30,Black,11.0,M7,,Incarceration,Unknown,Afternoon,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
10979,4238006,2016.0,1820985,M,22-30,Black,2.0,M6,,Incarceration,Yes,Morning,176.0,0.0,132.0,0.0,300.0,0.0,0.0,0.0,Violent
21177,5560604,2013.0,7153104,M,18-21,Black,1.0,M6,,Incarceration,No,Night,40.0,0.0,30.0,,300.0,0.0,0.0,0.0,Violent
1509,2805319,2021.0,2636259,M,22-30,Black,1.0,,,Incarceration,Unknown,Evening,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Weapon
1473,6782751,2021.0,9464004,M,22-30,Black,1.0,,,Probation,Unknown,Night,13.333333333333334,10.0,0.0,15.0,300.0,0.0,0.0,0.0,Weapon
17892,5009835,2014.0,3316346,M,41-50,Black,2.0,D3,,Probation,No,Morning,32.0,24.0,0.0,18.0,300.0,0.0,0.0,0.0,Drug
21446,2307444,2013.0,3501002,F,51-60,Black,1.0,D2,,Probation,Unknown,Afternoon,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
3267,1623191,2020.0,4462501,M,51-60,Black,1.0,,,Probation,Unknown,Morning,13.333333333333334,10.0,0.0,12.0,,0.0,0.0,0.0,Drug
23373,6330321,2012.0,3891585,M,18-21,Black,1.0,D2,,Probation,Unknown,Evening,32.0,24.0,0.0,24.0,300.0,0.0,0.0,0.0,Drug
23523,6321109,2012.0,8005812,M,41-50,Black,1.0,M7,,Incarceration,Yes,Morning,72.0,0.0,54.0,0.0,300.0,0.0,0.0,0.0,Property
21175,6468491,2013.0,420708,F,31-40,Black,1.0,D3,,Short Split,No,Evening,8.0,6.0,1.0,12.0,300.0,0.0,0.0,0.0,Drug
11881,1578773,2016.0,415200,M,51-60,Black,1.0,D4,,Probation,No,Night,,3.0,0.0,6.0,300.0,0.0,0.0,0.0,Drug
5399,7884559,2019.0,4484586,M,41-50,Black,1.0,D3,,Probation,Unknown,Evening,18.666666666666668,14.0,0.0,18.0,300.0,0.0,0.0,0.0,Drug
15905,1283037,,7681520,M,22-30,Black,10.0,M9,,Incarceration,Unknown,Morning,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Other
20078,3592616,2013.0,6806319,M,22-30,Black,1.0,D3,,Incarceration,Yes,Evening,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,0.0,Drug
13835,9220430,2015.0,8576933,M,31-40,Black,,,,Incarceration,Unknown,Evening,73.33333333333333,0.0,55.0,0.0,300.0,0.0,0.0,0.0,Violent
6999,62020,2018.0,9774944,M,31-40,Black,2.0,M2,,,No,Morning,240.0,0.0,180.0,0.0,300.0,0.0,0.0,0.0,Sex
6218,9166080,2019.0,5630111,M,51-60,Black,1.0,M5,,Incarceration,No,Afternoon,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Property
2145,6208866,2021.0,7326512,M,18-21,Black,2.0,M6,,,No,Afternoon,64.0,39.0,9.0,30.0,300.0,0.0,0.0,0.0,Violent
24277,4037503,2012.0,151839,F,41-50,Black,1.0,,,Short Split,Yes,Night,32.0,,6.0,36.0,300.0,0.0,660.0,0.0,Property
18707,957588,2013.0,2553330,M,18-21,Black,9.0,,,Incarceration,Unknown,Afternoon,13.333333333333334,0.0,10.0,0.0,300.0,0.0,0.0,0.0,Violent
14403,6259254,2015.0,5685142,F,31-40,Black,2.0,D3,,Probation,Yes,Afternoon,13.333333333333334,10.0,0.0,18.0,,0.0,0.0,0.0,Drug
9624,1460828,2017.0,2425443,M,18-21,Other or Unknown,5.0,,,Incarceration,Yes,Evening,42.666666666666664,0.0,32.0,0.0,300.0,0.0,0.0,0.0,Property
2174,3115828,2021.0,5561252,M,31-40,Black,2.0,,,Incarceration,Yes,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Weapon
17852,4514713,2014.0,3492313,M,22-30,Black,1.0,D2,,Probation,No,Night,16.0,12.0,0.0,18.0,300.0,,0.0,0.0,Drug
18305,5144764,2014.0,3142869,M,22-30,Black,1.0,M6,,Incarceration,Yes,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
19781,7936863,2013.0,8560050,M,22-30,Black,1.0,M5,,Incarceration,No,Afternoon,64.0,0.0,48.0,0.0,300.0,0.0,0.0,0.0,Violent
20614,4412347,2013.0,4109844,M,18-21,Black,1.0,M6,,Short Split,No,Night,32.0,18.0,6.0,18.0,300.0,,0.0,0.0,Violent
2623,833683,2020.0,3706478,M,31-40,Black,1.0,M8,,Incarceration,Unknown,Night,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Weapon
3441,5646093,2020.0,5106834,M,15-17,Black,1.0,,,Short Split,Unknown,Evening,40.0,24.0,6.0,36.0,300.0,0.0,0.0,0.0,Violent
5891,4089822,2019.0,6349427,M,22-30,Black,,M6,,Incarceration,Unknown,Night,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Violent
7098,7069468,2018.0,3077086,M,22-30,Black,1.0,D2,,Probation,No,Night,16.0,12.0,0.0,12.0,300.0,0.0,0.0,,Drug
7818,645184,2018.0,3340306,F,41-50,Black,1.0,M6,,Incarceration,No,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
18080,6543479,2014.0,4066869,M,18-21,Black,1.0,M8,,,Unknown,Afternoon,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Violent
18789,8966030,2013.0,18683,F,41-50,Black,1.0,D2,,Short Split,Unknown,Morning,24.0,14.0,4.0,24.0,300.0,0.0,0.0,0.0,Drug
7914,3357988,2018.0,8742897,M,22-30,White,1.0,M9,,Short Split,Yes,Evening,13.333333333333334,10.0,,18.0,300.0,0.0,0.0,0.0,Other
8041,4037047,2018.0,365783,M,41-50,Black,,M8,,Incarceration,Unknown,Morning,29.333333333333332,0.0,22.0,0.0,300.0,0.0,0.0,0.0,Violent
1810,1953898,2021.0,9566441,M,31-40,Black,1.0,,,Probation,Yes,Morning,13.333333333333334,10.0,0.0,12.0,300.0,0.0,0.0,0.0,Weapon
12626,921093,,9185886,M,18-21,Black,1.0,M8,,Incarceration,Unknown,Evening,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Violent
6227,7789127,2019.0,3817379,M,15-17,,1.0,M8,,Incarceration,No,Afternoon,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Violent
848,6455472,2021.0,1682854,M,,Black,6.0,M5,,Incarceration,No,Evening,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
5080,1620063,2019.0,7976982,M,51-60,Black,1.0,D3,,Probation,Yes,Night,13.333333333333334,10.0,0.0,9.0,300.0,0.0,0.0,0.0,Drug
22998,7800751,2012.0,9790488,M,22-30,,4.0,M7,,Incarceration,Yes,Afternoon,56.0,0.0,42.0,0.0,,0.0,0.0,0.0,Weapon
4501,7887776,2020.0,7525158,M,31-40,Black,1.0,M8,,Incarceration,,Evening,16.0,0.0,,0.0,300.0,0.0,0.0,0.0,Weapon
7575,7406494,2018.0,9517116,M,18-21,Black,4.0,M6,,Incarceration,No,Morning,40.0,0.0,30.0,0.0,300.0,0.0,0.0,0.0,Violent
16927,1444378,2014.0,5740114,M,41-50,,17.0,M5,,Incarceration,Unknown,Night,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Other
2467,5574266,2020.0,2436234,M,18-21,Black,10.0,M7,,Incarceration,No,Afternoon,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,0.0,Weapon
16558,2659054,2014.0,7470151,M,51-60,Black,1.0,M6,,Incarceration,Unknown,Morning,24.0,0.0,18.0,0.0,300.0,0.0,0.0,0.0,Violent
16079,6712551,2014.0,7352084,M,,Black,1.0,M5,,Incarceration,No,Afternoon,96.0,0.0,72.0,0.0,300.0,0.0,0.0,0.0,Violent
8818,1710128,2017.0,7933525,M,18-21,Black,9.0,M5,,Incarceration,Yes,Morning,80.0,,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
22253,1058488,2012.0,7961293,M,22-30,Black,5.0,M6,,,Unknown,Evening,50.666666666666664,0.0,38.0,0.0,300.0,0.0,0.0,0.0,Violent
17941,8711590,2014.0,2641583,M,61-70,Black,1.0,D3,,Probation,Yes,Afternoon,13.333333333333334,10.0,0.0,18.0,300.0,0.0,0.0,0.0,Drug
5529,4424770,2019.0,4237650,M,51-60,Black,2.0,D2,,Probation,Unknown,Evening,32.0,24.0,0.0,24.0,300.0,0.0,0.0,0.0,Drug
14685,1142829,2015.0,9482262,M,,Black,1.0,M6,,Incarceration,Yes,Night,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Violent
19734,1849860,2013.0,1113583,,51-60,Black,1.0,D2,,Incarceration,Unknown,Afternoon,16.0,0.0,12.0,0.0,300.0,0.0,0.0,0.0,Drug
24545,1332840,2012.0,3582796,M,18-21,Black,2.0,M8,,Short Split,No,Morning,26.666666666666668,14.0,6.0,12.0,,0.0,0.0,0.0,Property
11827,9736559,2016.0,9498618,M,41-50,Other or Unknown,1.0,M6,,Incarceration,No,Afternoon,,0.0,24.0,0.0,300.0,,0.0,0.0,Sex
8513,9092924,2018.0,5745156,M,18-21,White,1.0,M8,,Short Split,Unknown,Afternoon,24.0,18.0,1.0,18.0,300.0,0.0,0.0,0.0,Weapon
8026,9557278,2018.0,9205490,M,22-30,Black,1.0,M8,,Incarceration,Unknown,Night,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Violent
496,1220637,2022.0,1604919,M,22-30,Black,,,,Incarceration,Yes,Morning,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,,Weapon
12981,3087950,2015.0,8660556,M,41-50,White,12.0,M9,,Short Split,Unknown,Afternoon,16.0,11.0,1.0,24.0,300.0,0.0,0.0,0.0,Property
3671,8603597,2020.0,3627415,M,41-50,Black,1.0,D3,,Probation,Unknown,Evening,8.0,,0.0,12.0,300.0,0.0,0.0,0.0,Drug
14023,9346530,2015.0,9315477,M,18-21,,1.0,M8,,Short Split,Yes,Afternoon,16.0,11.0,1.0,24.0,300.0,0.0,0.0,0.0,Weapon
18542,1606724,2013.0,9705663,M,31-40,Black,2.0,D2,,Probation,Unknown,Afternoon,21.333333333333332,16.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
2643,5949189,2020.0,9083413,M,18-21,Black,10.0,M5,,Incarceration,Unknown,Night,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
1547,2992355,2021.0,9185886,M,22-30,Black,1.0,M6,,Incarceration,No,Morning,40.0,0.0,30.0,0.0,300.0,0.0,0.0,0.0,Violent
14927,5641250,2015.0,7762955,M,18-21,Black,4.0,M6,,Incarceration,No,Morning,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Violent
12040,7135131,2016.0,4449831,M,22-30,Black,1.0,M6,,Incarceration,Unknown,Night,53.333333333333336,0.0,40.0,0.0,300.0,0.0,0.0,0.0,Violent
7894,4890178,2018.0,5971306,M,31-40,White,1.0,M3,,Incarceration,Yes,Morning,192.0,0.0,144.0,0.0,300.0,0.0,0.0,0.0,Violent
6078,8975639,2019.0,3929377,M,22-30,Black,1.0,M3,,Incarceration,Unknown,Night,240.0,0.0,180.0,0.0,300.0,0.0,0.0,0.0,Violent
9207,7862946,2017.0,5135627,M,22-30,Black,13.0,M8,,Incarceration,Yes,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Other
803,362120,2021.0,5100256,M,22-30,White,1.0,,,Incarceration,Unknown,Night,17.333333333333332,0.0,13.0,0.0,300.0,0.0,0.0,0.0,Violent
6910,2792268,2018.0,1609929,M,22-30,Black,10.0,M6,,Incarceration,Unknown,Night,64.0,0.0,48.0,0.0,300.0,0.0,0.0,0.0,Violent
21391,7523535,2013.0,9825203,M,22-30,Black,1.0,M5,,Incarceration,No,Afternoon,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Violent
6868,8460703,2018.0,9102919,M,18-21,Black,1.0,,,Incarceration,No,Night,32.0,0.0,24.0,0.0,300.0,0.0,250.0,0.0,Property
9225,9895217,2017.0,6357635,M,22-30,White,5.0,M3,,Incarceration,Yes,Evening,160.0,0.0,120.0,0.0,300.0,0.0,0.0,0.0,Sex
2983,4426560,2020.0,4240132,M,31-40,Black,2.0,D3,,,Yes,Afternoon,,24.0,3.0,12.0,300.0,0.0,0.0,0.0,Drug
992,1028095,2021.0,8269622,M,41-50,White,2.0,M6,,Incarceration,No,Afternoon,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,0.0,Sex
8903,2990963,2017.0,6914813,M,31-40,Black,1.0,D2,,Probation,Yes,Afternoon,8.0,6.0,0.0,6.0,300.0,0.0,0.0,0.0,Drug
5765,1098592,2019.0,2028135,M,51-60,Black,1.0,D3,,Long Split,No,Morning,29.333333333333332,10.0,12.0,12.0,300.0,0.0,35.0,0.0,Drug
11835,4101543,2016.0,5181039,M,22-30,Black,1.0,D4,,Short Split,Yes,Morning,13.333333333333334,10.0,1.0,12.0,300.0,0.0,0.0,0.0,Drug
17781,8204133,2014.0,4777491,M,22-30,,3.0,,,Incarceration,No,Evening,21.333333333333332,0.0,,0.0,,0.0,0.0,0.0,Drug
3046,5663400,2020.0,5005699,M,22-30,Black,12.0,M5,,Incarceration,No,Afternoon,80.0,0.0,60.0,0.0,300.0,0.0,0.0,,Violent
12731,4317368,2016.0,5171384,F,31-40,Black,,M9,,Probation,Yes,Evening,26.666666666666668,20.0,0.0,24.0,300.0,0.0,0.0,0.0,Other
17521,2942119,2014.0,9891656,M,41-50,Black,22.0,M8,,Incarceration,Yes,Evening,40.0,0.0,30.0,0.0,300.0,,0.0,0.0,Property
4894,5851179,2019.0,6619927,M,31-40,Black,3.0,D3,,Incarceration,No,Afternoon,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,0.0,Drug
6849,2885882,2018.0,4059296,M,22-30,Black,2.0,M8,,Incarceration,Unknown,Evening,24.0,0.0,18.0,0.0,300.0,0.0,125.0,0.0,Property
23911,4553182,,8868200,F,71+,Black,1.0,M9,,Short Split,Yes,Afternoon,16.0,,3.0,18.0,300.0,0.0,0.0,0.0,Other
5622,9183181,2019.0,9671653,M,22-30,Black,4.0,M5,,Incarceration,No,Morning,120.0,0.0,90.0,0.0,300.0,0.0,0.0,0.0,Weapon
20952,3325753,2013.0,9013986,M,31-40,Black,1.0,M9,,Incarceration,Yes,Afternoon,10.666666666666666,0.0,8.0,0.0,300.0,0.0,0.0,0.0,Property
7868,6867633,2018.0,787653,M,,Black,1.0,M7,,Incarceration,No,Afternoon,32.0,0.0,24.0,0.0,300.0,0.0,72.5,0.0,Property
5347,4938538,2019.0,8682639,M,18-21,Black,2.0,D3,,Probation,Yes,Night,8.0,6.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
4988,2271081,2019.0,1625845,M,,Black,1.0,M8,,Incarceration,No,Evening,26.666666666666668,0.0,20.0,0.0,300.0,0.0,0.0,0.0,Violent
4783,9547753,2019.0,266260,M,22-30,Black,1.0,M6,,Incarceration,Unknown,Afternoon,64.0,0.0,48.0,0.0,300.0,0.0,0.0,0.0,Violent
3677,613601,2020.0,8578522,M,31-40,Black,1.0,,,Incarceration,Yes,Morning,18.666666666666668,0.0,14.0,0.0,300.0,0.0,0.0,0.0,Drug
8931,7882983,2017.0,8259481,M,18-21,Black,12.0,M8,,Probation,No,Evening,16.0,12.0,0.0,36.0,300.0,0.0,0.0,0.0,Property
23445,2559943,2012.0,4698937,M,18-21,Black,3.0,,,Probation,Yes,Morning,,12.0,0.0,24.0,300.0,0.0,0.0,0.0,Property
17846,7042636,2014.0,2247146,M,18-21,Black,5.0,M8,,Incarceration,Unknown,Evening,24.0,0.0,18.0,0.0,2250.0,0.0,0.0,0.0,Other
11974,9394878,2016.0,8953207,M,22-30,Black,3.0,M6,,Incarceration,Yes,Afternoon,45.333333333333336,0.0,34.0,0.0,300.0,0.0,0.0,0.0,Violent
6139,3420655,2019.0,3055628,M,18-21,Black,1.0,M9,,Probation,Yes,Evening,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Other
2827,1386228,2020.0,591141,M,18-21,Black,16.0,M5,,Incarceration,No,Afternoon,80.0,,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
7633,4625010,2018.0,4467314,M,22-30,Black,1.0,M9,,Incarceration,Unknown,Night,6.666666666666667,0.0,5.0,0.0,300.0,0.0,0.0,0.0,Other
9422,993063,2017.0,2507778,F,41-50,White,1.0,M7,,Incarceration,No,Evening,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Property
20898,8642518,2013.0,2436907,M,41-50,Black,1.0,M9,,Incarceration,Yes,Afternoon,12.0,0.0,9.0,0.0,300.0,0.0,,0.0,Other
3630,1636588,,3195313,M,31-40,Black,1.0,M2,Murder II,Incarceration,No,Afternoon,240.0,,180.0,0.0,300.0,0.0,0.0,0.0,Homicide
13850,346053,2015.0,9162269,M,41-50,Black,1.0,M5,Involuntary Manslaughter,Incarceration,Yes,Evening,120.0,0.0,90.0,0.0,7500.0,0.0,0.0,0.0,Homicide
20877,3364647,2013.0,4825409,F,18-21,Black,1.0,D2,,Probation,Unknown,Night,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
8020,1913516,2018.0,4139550,M,18-21,Black,3.0,M5,,Long Split,Yes,Afternoon,112.0,18.0,66.0,60.0,300.0,0.0,0.0,0.0,Property
5691,3441194,2019.0,7585147,M,41-50,Black,3.0,M7,,Long Split,No,Afternoon,160.0,60.0,60.0,36.0,300.0,0.0,0.0,0.0,Property
21348,7215294,2013.0,9412588,M,31-40,Black,10.0,M8,,,Unknown,Afternoon,,0.0,32.0,0.0,300.0,0.0,0.0,0.0,Violent
13924,9431804,,110236,M,18-21,Black,7.0,M7,,Incarceration,No,Morning,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Violent
23653,7474497,2012.0,938201,M,22-30,Black,1.0,D3,,Incarceration,Yes,Night,13.333333333333334,0.0,10.0,0.0,300.0,0.0,0.0,0.0,Drug
15991,6328116,2014.0,751886,M,22-30,Black,1.0,D2,,Incarceration,Yes,Night,32.0,0.0,,0.0,2250.0,0.0,0.0,0.0,Drug
5422,5332171,2019.0,4098233,M,22-30,Black,1.0,D2,,Probation,Unknown,Evening,16.0,12.0,0.0,12.0,300.0,0.0,0.0,0.0,Drug
23846,2614432,2012.0,2982830,M,15-17,Black,2.0,M5,,Incarceration,Unknown,Evening,80.0,0.0,60.0,0.0,300.0,0.0,0.0,0.0,Weapon
20136,369667,2013.0,6979399,M,18-21,Black,2.0,M5,,Incarceration,Unknown,Afternoon,112.0,0.0,84.0,0.0,300.0,0.0,0.0,0.0,Violent
5793,6127106,2019.0,8813203,M,18-21,Black,1.0,M6,,Incarceration,No,Morning,106.66666666666667,0.0,80.0,0.0,300.0,0.0,0.0,,Violent
20447,4277402,2013.0,3603597,M,18-21,Other or Unknown,3.0,M6,,Incarceration,Yes,Morning,64.0,0.0,48.0,0.0,300.0,0.0,0.0,0.0,Violent
9802,4233245,2017.0,2947534,M,22-30,Black,1.0,M7,,Incarceration,Unknown,Night,32.0,0.0,24.0,0.0,300.0,0.0,0.0,0.0,Weapon
7541,606252,2018.0,3967493,M,18-21,Black,15.0,M6,,Long Split,Yes,Evening,32.0,12.0,12.0,1.0,300.0,0.0,0.0,0.0,Violent
10464,4317744,2016.0,4882490,M,31-40,White,8.0,M8,,Incarceration,No,Night,14.666666666666666,0.0,,0.0,300.0,0.0,0.0,0.0,Violent
3775,1094683,2020.0,7057548,M,22-30,Black,4.0,M8,,Short Split,Yes,Afternoon,12.0,9.0,1.0,12.0,300.0,0.0,0.0,0.0,Weapon
10277,6652756,2017.0,8746173,M,31-40,Black,8.0,M6,,Incarceration,No,Afternoon,48.0,0.0,36.0,0.0,300.0,0.0,0.0,0.0,Weapon
15960,8727288,2014.0,9350065,F,22-30,Black,1.0,D2,,Probation,No,Afternoon,21.333333333333332,16.0,0.0,24.0,300.0,,0.0,0.0,Drug
1597,891438,2021.0,7195198,M,31-40,Black,1.0,M8,,Long Split,Unknown,Evening,48.0,23.0,13.0,36.0,300.0,0.0,0.0,0.0,Weapon
